Ano;Região;UF;Código do Município;Nome do Município;Localização;Total Abandono Ens. Fundamental;Total Abandono no Ens. Médio
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Urbana;0.4;4.7
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Urbana;0.3;4.8
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Urbana;0.9;0
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Urbana;0;--
2014;Sudeste;SP;3550209;SAO MIGUEL ARCANJO;Urbana;0.8;4.8
2014;Sudeste;SP;3550308;SAO PAULO;Total;1.3;5.1
2014;Sudeste;SP;3550308;SAO PAULO;Total;1.7;6.2
2014;Sudeste;SP;3550308;SAO PAULO;Total;0;0.1
2014;Sudeste;SP;3550308;SAO PAULO;Total;1.9;5.9
2014;Sudeste;SP;3550308;SAO PAULO;Total;0;0
2014;Sudeste;SP;3550308;SAO PAULO;Total;1.6;6.3
2014;Sudeste;SP;3550308;SAO PAULO;Urbana;1.3;5.1
2014;Sudeste;SP;3550308;SAO PAULO;Urbana;1.7;6.2
2014;Sudeste;SP;3550308;SAO PAULO;Urbana;0;0.1
2014;Sudeste;SP;3550308;SAO PAULO;Urbana;1.9;5.9
2014;Sudeste;SP;3550308;SAO PAULO;Urbana;0;0
2014;Sudeste;SP;3550308;SAO PAULO;Urbana;1.6;6.3
2014;Sudeste;SP;3550407;SAO PEDRO;Total;1.1;3.4
2014;Sudeste;SP;3550407;SAO PEDRO;Total;1.3;3.9
2014;Sudeste;SP;3550407;SAO PEDRO;Total;0.2;0
2014;Sudeste;SP;3550407;SAO PEDRO;Total;0.7;--
2014;Sudeste;SP;3550407;SAO PEDRO;Total;4.5;3.9
2014;Sudeste;SP;3550407;SAO PEDRO;Rural;0.7;--
2014;Sudeste;SP;3550407;SAO PEDRO;Rural;0.7;--
2014;Sudeste;SP;3550407;SAO PEDRO;Rural;0.7;--
2014;Sudeste;SP;3550407;SAO PEDRO;Urbana;1.2;3.4
2014;Sudeste;SP;3550407;SAO PEDRO;Urbana;1.3;3.9
2014;Sudeste;SP;3550407;SAO PEDRO;Urbana;0.2;0
2014;Sudeste;SP;3550407;SAO PEDRO;Urbana;0.7;--
2014;Sudeste;SP;3550407;SAO PEDRO;Urbana;4.5;3.9
2014;Sudeste;SP;3550506;SAO PEDRO DO TURVO;Total;1.2;3.2
2014;Sudeste;SP;3550506;SAO PEDRO DO TURVO;Total;1.2;3.2
2014;Sudeste;SP;3550506;SAO PEDRO DO TURVO;Total;0;--
2014;Sudeste;SP;3550506;SAO PEDRO DO TURVO;Total;2.6;3.2
2014;Sudeste;SP;3550506;SAO PEDRO DO TURVO;Rural;0;--
2014;Sudeste;SP;3550506;SAO PEDRO DO TURVO;Rural;0;--
2014;Sudeste;SP;3550506;SAO PEDRO DO TURVO;Rural;0;--
2014;Sudeste;SP;3550506;SAO PEDRO DO TURVO;Urbana;1.2;3.2
2014;Sudeste;SP;3550506;SAO PEDRO DO TURVO;Urbana;1.2;3.2
2014;Sudeste;SP;3550506;SAO PEDRO DO TURVO;Urbana;0;--
2014;Sudeste;SP;3550506;SAO PEDRO DO TURVO;Urbana;2.6;3.2
2014;Sudeste;SP;3550605;SAO ROQUE;Total;1.2;1.4
2014;Sudeste;SP;3550605;SAO ROQUE;Total;1.6;1.8
2014;Sudeste;SP;3550605;SAO ROQUE;Total;0;0
2014;Sudeste;SP;3550605;SAO ROQUE;Total;1.6;--
2014;Sudeste;SP;3550605;SAO ROQUE;Total;--;5.2
2014;Sudeste;SP;3550605;SAO ROQUE;Total;--;1.6
2014;Sudeste;SP;3550605;SAO ROQUE;Rural;0.5;--
2014;Sudeste;SP;3550605;SAO ROQUE;Rural;0.5;--
2014;Sudeste;SP;3550605;SAO ROQUE;Rural;0.5;--
2014;Sudeste;SP;3550605;SAO ROQUE;Urbana;1.3;1.4
2014;Sudeste;SP;3550605;SAO ROQUE;Urbana;1.7;1.8
2014;Sudeste;SP;3550605;SAO ROQUE;Urbana;0;0
2014;Sudeste;SP;3550605;SAO ROQUE;Urbana;1.7;--
2014;Sudeste;SP;3550605;SAO ROQUE;Urbana;--;5.2
2014;Sudeste;SP;3550605;SAO ROQUE;Urbana;--;1.6
2014;Sudeste;SP;3550704;SAO SEBASTIAO;Total;0;0
2014;Sudeste;SP;3550704;SAO SEBASTIAO;Total;0;0.1
2014;Sudeste;SP;3550704;SAO SEBASTIAO;Total;0;0
2014;Sudeste;SP;3550704;SAO SEBASTIAO;Total;0;--
2014;Sudeste;SP;3550704;SAO SEBASTIAO;Total;--;0.1
2014;Sudeste;SP;3550704;SAO SEBASTIAO;Urbana;0;0
2014;Sudeste;SP;3550704;SAO SEBASTIAO;Urbana;0;0.1
2014;Sudeste;SP;3550704;SAO SEBASTIAO;Urbana;0;0
2014;Sudeste;SP;3550704;SAO SEBASTIAO;Urbana;0;--
2014;Sudeste;SP;3550704;SAO SEBASTIAO;Urbana;--;0.1
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Total;1;0.2
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Total;1;0.3
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Total;0;0
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Total;0;--
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Total;2.4;0.3
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Rural;0;0
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Rural;0;0
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Rural;0;--
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Rural;0;0
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Urbana;1.2;0.3
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Urbana;1.3;0.4
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Urbana;0;0
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Urbana;0;--
2014;Sudeste;SP;3550803;SAO SEBASTIAO DA GRAMA;Urbana;2.9;0.4
2014;Sudeste;SP;3550902;SAO SIMAO;Total;1.8;5.5
2014;Sudeste;SP;3550902;SAO SIMAO;Total;2.3;6.7
2014;Sudeste;SP;3550902;SAO SIMAO;Total;0;0
2014;Sudeste;SP;3550902;SAO SIMAO;Total;0.2;--
2014;Sudeste;SP;3550902;SAO SIMAO;Total;3.8;6.7
2014;Sudeste;SP;3550902;SAO SIMAO;Rural;--;1.1
2014;Sudeste;SP;3550902;SAO SIMAO;Rural;--;1.1
2014;Sudeste;SP;3550902;SAO SIMAO;Rural;--;1.1
2014;Sudeste;SP;3550902;SAO SIMAO;Urbana;1.8;6.3
2014;Sudeste;SP;3550902;SAO SIMAO;Urbana;2.3;7.7
2014;Sudeste;SP;3550902;SAO SIMAO;Urbana;0;0
2014;Sudeste;SP;3550902;SAO SIMAO;Urbana;0.2;--
2014;Sudeste;SP;3550902;SAO SIMAO;Urbana;3.8;7.7
2014;Sudeste;SP;3551009;SAO VICENTE;Total;0.8;3.8
2014;Sudeste;SP;3551009;SAO VICENTE;Total;0.9;4.4
2014;Sudeste;SP;3551009;SAO VICENTE;Total;0;0
2014;Sudeste;SP;3551009;SAO VICENTE;Total;0.9;--
2014;Sudeste;SP;3551009;SAO VICENTE;Total;1;4.4
2014;Sudeste;SP;3551009;SAO VICENTE;Urbana;0.8;3.8
2014;Sudeste;SP;3551009;SAO VICENTE;Urbana;0.9;4.4
2014;Sudeste;SP;3551009;SAO VICENTE;Urbana;0;0
2014;Sudeste;SP;3551009;SAO VICENTE;Urbana;0.9;--
2014;Sudeste;SP;3551009;SAO VICENTE;Urbana;1;4.4
2014;Sudeste;SP;3551108;SARAPUI;Total;0.1;3.2
2014;Sudeste;SP;3551108;SARAPUI;Total;0.1;3.2
2014;Sudeste;SP;3551108;SARAPUI;Total;0;--
2014;Sudeste;SP;3551108;SARAPUI;Total;0.3;3.2
2014;Sudeste;SP;3551108;SARAPUI;Rural;0;--
2014;Sudeste;SP;3551108;SARAPUI;Rural;0;--
2014;Sudeste;SP;3551108;SARAPUI;Rural;0;--
2014;Sudeste;SP;3551108;SARAPUI;Urbana;0.1;3.2
2014;Sudeste;SP;3551108;SARAPUI;Urbana;0.1;3.2
2014;Sudeste;SP;3551108;SARAPUI;Urbana;0;--
2014;Sudeste;SP;3551108;SARAPUI;Urbana;0.3;3.2
2014;Sudeste;SP;3551207;SARUTAIA;Total;1.8;11
2014;Sudeste;SP;3551207;SARUTAIA;Total;1.8;11
2014;Sudeste;SP;3551207;SARUTAIA;Total;0;--
2014;Sudeste;SP;3551207;SARUTAIA;Total;4.5;11
2014;Sudeste;SP;3551207;SARUTAIA;Urbana;1.8;11
2014;Sudeste;SP;3551207;SARUTAIA;Urbana;1.8;11
2014;Sudeste;SP;3551207;SARUTAIA;Urbana;0;--
2014;Sudeste;SP;3551207;SARUTAIA;Urbana;4.5;11
2014;Sudeste;SP;3551306;SEBASTIANOPOLIS DO SUL;Total;0.3;2.2
2014;Sudeste;SP;3551306;SEBASTIANOPOLIS DO SUL;Total;0.3;2.2
