Ano;Região;UF;Código do Município;Nome do Município;Localização;Total.2;Total  .2
2021;Norte;RO;1100189;Pimenta Bueno;Rural;--;2.4
2021;Norte;RO;1100189;Pimenta Bueno;Total;0.2;--
2021;Norte;RO;1100189;Pimenta Bueno;Urbana;0;--
2021;Norte;RO;1100189;Pimenta Bueno;Rural;1.3;--
2021;Norte;RO;1100189;Pimenta Bueno;Total;0;0
2021;Norte;RO;1100189;Pimenta Bueno;Urbana;0;0
2021;Norte;RO;1100189;Pimenta Bueno;Total;0.6;6.5
2021;Norte;RO;1100189;Pimenta Bueno;Urbana;0.5;7.1
2021;Norte;RO;1100189;Pimenta Bueno;Rural;1.3;2.4
2021;Norte;RO;1100205;Porto Velho;Total;1.3;6.2
2021;Norte;RO;1100205;Porto Velho;Urbana;1.2;5.9
2021;Norte;RO;1100205;Porto Velho;Rural;2.6;16.1
2021;Norte;RO;1100205;Porto Velho;Total;--;0
2021;Norte;RO;1100205;Porto Velho;Urbana;--;0
2021;Norte;RO;1100205;Porto Velho;Total;2.9;7.2
2021;Norte;RO;1100205;Porto Velho;Urbana;2.5;6.9
2021;Norte;RO;1100205;Porto Velho;Rural;9.9;16.1
2021;Norte;RO;1100205;Porto Velho;Total;0.3;--
2021;Norte;RO;1100205;Porto Velho;Urbana;0.1;--
2021;Norte;RO;1100205;Porto Velho;Rural;1;--
2021;Norte;RO;1100205;Porto Velho;Total;0;0
2021;Norte;RO;1100205;Porto Velho;Urbana;0;0
2021;Norte;RO;1100205;Porto Velho;Rural;0;--
2021;Norte;RO;1100205;Porto Velho;Total;1.7;6.9
2021;Norte;RO;1100205;Porto Velho;Urbana;1.5;6.6
2021;Norte;RO;1100205;Porto Velho;Rural;3.2;16.1
2021;Norte;RO;1100254;Presidente Médici;Total;0;0.1
2021;Norte;RO;1100254;Presidente Médici;Urbana;0;0.2
2021;Norte;RO;1100254;Presidente Médici;Rural;0;0
2021;Norte;RO;1100254;Presidente Médici;Total;0;0.1
2021;Norte;RO;1100254;Presidente Médici;Urbana;0;0.2
2021;Norte;RO;1100254;Presidente Médici;Rural;0;0
2021;Norte;RO;1100254;Presidente Médici;Total;0;--
2021;Norte;RO;1100254;Presidente Médici;Urbana;0;--
2021;Norte;RO;1100254;Presidente Médici;Rural;0;--
2021;Norte;RO;1100254;Presidente Médici;Total;0;0.1
2021;Norte;RO;1100254;Presidente Médici;Urbana;0;0.2
2021;Norte;RO;1100254;Presidente Médici;Rural;0;0
2021;Norte;RO;1100262;Rio Crespo;Total;0.3;1.2
2021;Norte;RO;1100262;Rio Crespo;Urbana;0.3;1.2
2021;Norte;RO;1100262;Rio Crespo;Total;1.2;1.2
2021;Norte;RO;1100262;Rio Crespo;Urbana;1.2;1.2
2021;Norte;RO;1100262;Rio Crespo;Total;0;--
2021;Norte;RO;1100262;Rio Crespo;Urbana;0;--
2021;Norte;RO;1100262;Rio Crespo;Total;0.3;1.2
2021;Norte;RO;1100262;Rio Crespo;Urbana;0.3;1.2
2021;Norte;RO;1100288;Rolim de Moura;Total;0.1;1.9
2021;Norte;RO;1100288;Rolim de Moura;Urbana;0.1;1.9
2021;Norte;RO;1100288;Rolim de Moura;Rural;0;--
2021;Norte;RO;1100288;Rolim de Moura;Total;0.1;1.9
2021;Norte;RO;1100288;Rolim de Moura;Urbana;0.1;1.9
2021;Norte;RO;1100288;Rolim de Moura;Total;0.1;--
2021;Norte;RO;1100288;Rolim de Moura;Urbana;0.1;--
2021;Norte;RO;1100288;Rolim de Moura;Rural;0;--
2021;Norte;RO;1100288;Rolim de Moura;Total;0;0
