Ano,Região,UF,Código do Município,Nome do Município,Localização,Total_abandono_EF2010,Total_abandono_EM2010
2010,Norte,RO,1100288,ROLIM DE MOURA,Rural,0,--
2010,Norte,RO,1100288,ROLIM DE MOURA,Total,0.5,14.5
2010,Norte,RO,1100288,ROLIM DE MOURA,Total,0.5,--
2010,Norte,RO,1100288,ROLIM DE MOURA,Total,0,3.3
2010,Norte,RO,1100288,ROLIM DE MOURA,Total,0.5,14.5
2010,Norte,RO,1100288,ROLIM DE MOURA,Total,0.5,14
2010,Norte,RO,1100288,ROLIM DE MOURA,Urbana,0.5,14.5
2010,Norte,RO,1100288,ROLIM DE MOURA,Urbana,0.6,--
2010,Norte,RO,1100288,ROLIM DE MOURA,Urbana,0,3.3
2010,Norte,RO,1100288,ROLIM DE MOURA,Urbana,0.6,14.5
2010,Norte,RO,1100288,ROLIM DE MOURA,Urbana,0.5,14
2010,Norte,RO,1100296,SANTA LUZIA D'OESTE,Rural,0,--
2010,Norte,RO,1100296,SANTA LUZIA D'OESTE,Rural,0,--
2010,Norte,RO,1100296,SANTA LUZIA D'OESTE,Rural,0,--
2010,Norte,RO,1100296,SANTA LUZIA D'OESTE,Total,--,10
2010,Norte,RO,1100296,SANTA LUZIA D'OESTE,Total,0,--
2010,Norte,RO,1100296,SANTA LUZIA D'OESTE,Total,0,10
2010,Norte,RO,1100296,SANTA LUZIA D'OESTE,Total,0,10
2010,Norte,RO,1100296,SANTA LUZIA D'OESTE,Urbana,--,10
2010,Norte,RO,1100296,SANTA LUZIA D'OESTE,Urbana,0,--
2010,Norte,RO,1100296,SANTA LUZIA D'OESTE,Urbana,0,10
2010,Norte,RO,1100296,SANTA LUZIA D'OESTE,Urbana,0,10
2010,Norte,RO,1100304,VILHENA,Rural,25,--
2010,Norte,RO,1100304,VILHENA,Rural,0,--
2010,Norte,RO,1100304,VILHENA,Rural,1.6,--
2010,Norte,RO,1100304,VILHENA,Rural,1.6,--
2010,Norte,RO,1100304,VILHENA,Total,0.4,13
2010,Norte,RO,1100304,VILHENA,Total,0.2,--
2010,Norte,RO,1100304,VILHENA,Total,0.8,0.8
2010,Norte,RO,1100304,VILHENA,Total,0.3,13
2010,Norte,RO,1100304,VILHENA,Total,0.4,12.1
2010,Norte,RO,1100304,VILHENA,Urbana,0,13
2010,Norte,RO,1100304,VILHENA,Urbana,0.2,--
2010,Norte,RO,1100304,VILHENA,Urbana,0.8,0.8
2010,Norte,RO,1100304,VILHENA,Urbana,0.2,13
2010,Norte,RO,1100304,VILHENA,Urbana,0.2,12.1
2010,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Rural,0,--
2010,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Rural,0,--
2010,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Rural,0,--
2010,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Total,0,24.3
2010,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Total,0,--
2010,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Total,7.7,--
2010,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Total,0,24.3
2010,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Total,0.3,24.3
2010,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Urbana,0,24.3
2010,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Urbana,0,--
2010,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Urbana,7.7,--
2010,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Urbana,0,24.3
2010,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Urbana,0.5,24.3
2010,Norte,RO,1100338,NOVA MAMORE,Rural,0,12.6
2010,Norte,RO,1100338,NOVA MAMORE,Rural,1.8,--
2010,Norte,RO,1100338,NOVA MAMORE,Rural,1.6,12.6
2010,Norte,RO,1100338,NOVA MAMORE,Rural,1.6,12.6
2010,Norte,RO,1100338,NOVA MAMORE,Total,2.9,11.1
2010,Norte,RO,1100338,NOVA MAMORE,Total,3.6,--
2010,Norte,RO,1100338,NOVA MAMORE,Total,0,--
2010,Norte,RO,1100338,NOVA MAMORE,Total,3.4,11.1
2010,Norte,RO,1100338,NOVA MAMORE,Total,3.3,11.1
2010,Norte,RO,1100338,NOVA MAMORE,Urbana,3.5,10.3
2010,Norte,RO,1100338,NOVA MAMORE,Urbana,11.5,--
2010,Norte,RO,1100338,NOVA MAMORE,Urbana,0,--
2010,Norte,RO,1100338,NOVA MAMORE,Urbana,6,10.3
2010,Norte,RO,1100338,NOVA MAMORE,Urbana,5.6,10.3
2010,Norte,RO,1100346,ALVORADA D'OESTE,Rural,0,--
2010,Norte,RO,1100346,ALVORADA D'OESTE,Rural,0,--
2010,Norte,RO,1100346,ALVORADA D'OESTE,Rural,0,--
2010,Norte,RO,1100346,ALVORADA D'OESTE,Total,0,14
2010,Norte,RO,1100346,ALVORADA D'OESTE,Total,0,--
2010,Norte,RO,1100346,ALVORADA D'OESTE,Total,0,--
2010,Norte,RO,1100346,ALVORADA D'OESTE,Total,0,14
2010,Norte,RO,1100346,ALVORADA D'OESTE,Total,0,14
2010,Norte,RO,1100346,ALVORADA D'OESTE,Urbana,0,14
2010,Norte,RO,1100346,ALVORADA D'OESTE,Urbana,0,--
2010,Norte,RO,1100346,ALVORADA D'OESTE,Urbana,0,--
2010,Norte,RO,1100346,ALVORADA D'OESTE,Urbana,0,14
2010,Norte,RO,1100346,ALVORADA D'OESTE,Urbana,0,14
2010,Norte,RO,1100379,ALTO ALEGRE DOS PARECIS,Rural,2.3,--
2010,Norte,RO,1100379,ALTO ALEGRE DOS PARECIS,Rural,2.3,--
2010,Norte,RO,1100379,ALTO ALEGRE DOS PARECIS,Rural,2.3,--
2010,Norte,RO,1100379,ALTO ALEGRE DOS PARECIS,Total,--,16.4
2010,Norte,RO,1100379,ALTO ALEGRE DOS PARECIS,Total,1.6,--
2010,Norte,RO,1100379,ALTO ALEGRE DOS PARECIS,Total,1.6,16.4
2010,Norte,RO,1100379,ALTO ALEGRE DOS PARECIS,Total,1.6,16.4
2010,Norte,RO,1100379,ALTO ALEGRE DOS PARECIS,Urbana,--,16.4
2010,Norte,RO,1100379,ALTO ALEGRE DOS PARECIS,Urbana,0.8,--
2010,Norte,RO,1100379,ALTO ALEGRE DOS PARECIS,Urbana,0.8,16.4
2010,Norte,RO,1100379,ALTO ALEGRE DOS PARECIS,Urbana,0.8,16.4
2010,Norte,RO,1100403,ALTO PARAISO,Rural,0.8,--
2010,Norte,RO,1100403,ALTO PARAISO,Rural,0.8,--
2010,Norte,RO,1100403,ALTO PARAISO,Rural,0.8,--
2010,Norte,RO,1100403,ALTO PARAISO,Total,0,19.6
2010,Norte,RO,1100403,ALTO PARAISO,Total,0.4,--
2010,Norte,RO,1100403,ALTO PARAISO,Total,0.4,19.6
2010,Norte,RO,1100403,ALTO PARAISO,Total,0.4,19.6
2010,Norte,RO,1100403,ALTO PARAISO,Urbana,0,19.6
2010,Norte,RO,1100403,ALTO PARAISO,Urbana,0,--
2010,Norte,RO,1100403,ALTO PARAISO,Urbana,0,19.6
2010,Norte,RO,1100403,ALTO PARAISO,Urbana,0,19.6
2010,Norte,RO,1100452,BURITIS,Rural,1.8,--
2010,Norte,RO,1100452,BURITIS,Rural,1.8,--
2010,Norte,RO,1100452,BURITIS,Rural,1.8,--
2010,Norte,RO,1100452,BURITIS,Total,1.9,12.3
2010,Norte,RO,1100452,BURITIS,Total,1,--
2010,Norte,RO,1100452,BURITIS,Total,0,--
