Ano,Região,UF,Código do Município,Nome do Município,Localização,Rede,Total_Abandono_EF2018,Total_Abandono_EM2018  
2018,Norte,RO,1100403,Alto Paraíso,Urbana,Municipal,1.5,--
2018,Norte,RO,1100403,Alto Paraíso,Rural,Municipal,1.2,--
2018,Norte,RO,1100403,Alto Paraíso,Total,Pública,1.2,4.2
2018,Norte,RO,1100403,Alto Paraíso,Urbana,Pública,1.1,4.2
2018,Norte,RO,1100403,Alto Paraíso,Rural,Pública,1.2,--
2018,Norte,RO,1100452,Buritis,Total,Total,1.7,5
2018,Norte,RO,1100452,Buritis,Urbana,Total,1.7,5
2018,Norte,RO,1100452,Buritis,Rural,Total,1.5,--
2018,Norte,RO,1100452,Buritis,Total,Estadual,3.3,5
2018,Norte,RO,1100452,Buritis,Urbana,Estadual,3.3,5
2018,Norte,RO,1100452,Buritis,Total,Municipal,0.4,--
