UF,Total,Forca_de_Trabalho,ocupados,Desocupados,Trimestre_ID,Ano,Trimestre,Trimestre_Ano,Taxa_Desocupacao,Nivel_Ocupacao,Taxa_Participacao,Fora_da_Forca
Mato Grosso do Sul,1997,1330,1251,80,27,2018,3,T3/2018,6.0,62.6,66.6,667
Mato Grosso,2522,1647,1552,95,27,2018,3,T3/2018,5.8,61.5,65.3,875
Goiás,5250,3468,3197,271,27,2018,3,T3/2018,7.8,60.9,66.1,1782
Distrito Federal,2286,1518,1369,149,27,2018,3,T3/2018,9.8,59.9,66.4,768
Rondônia,1285,812,750,62,27,2018,3,T3/2018,7.6,58.4,63.2,473
Acre,583,342,312,30,27,2018,3,T3/2018,8.8,53.5,58.7,241
Amazonas,2725,1710,1488,221,27,2018,3,T3/2018,12.9,54.6,62.8,1015
Roraima,342,221,203,18,27,2018,3,T3/2018,8.1,59.4,64.6,121
Pará,6113,3811,3423,388,27,2018,3,T3/2018,10.2,56.0,62.3,2302
Amapá,552,342,291,50,27,2018,3,T3/2018,14.6,52.7,62.0,210
Tocantins,1124,688,613,74,27,2018,3,T3/2018,10.8,54.5,61.2,436
Maranhão,5060,2883,2563,320,27,2018,3,T3/2018,11.1,50.7,57.0,2177
Piauí,2529,1481,1337,143,27,2018,3,T3/2018,9.7,52.9,58.6,1048
Ceará,6960,3759,3349,410,27,2018,3,T3/2018,10.9,48.1,54.0,3201
Rio Grande do Norte,2698,1504,1285,218,27,2018,3,T3/2018,14.5,47.6,55.7,1194
Paraíba,3060,1707,1532,175,27,2018,3,T3/2018,10.3,50.1,55.8,1353
Pernambuco,7368,4104,3554,550,27,2018,3,T3/2018,13.4,48.2,55.7,3264
Alagoas,2512,1267,1103,164,27,2018,3,T3/2018,12.9,43.9,50.4,1245
Sergipe,1757,1023,905,118,27,2018,3,T3/2018,11.5,51.5,58.2,734
Bahia,11385,7108,5990,1119,27,2018,3,T3/2018,15.7,52.6,62.4,4277
Minas Gerais,16871,10819,9596,1223,27,2018,3,T3/2018,11.3,56.9,64.1,6052
Espírito Santo,3109,1963,1744,219,27,2018,3,T3/2018,11.2,56.1,63.1,1146
Rio de Janeiro,13956,8343,7494,849,27,2018,3,T3/2018,10.2,53.7,59.8,5613
São Paulo,36281,24286,21324,2962,27,2018,3,T3/2018,12.2,58.8,66.9,11995
Paraná,8952,5954,5468,486,27,2018,3,T3/2018,8.2,61.1,66.5,2998
Santa Catarina,5595,3703,3476,227,27,2018,3,T3/2018,6.1,62.1,66.2,1892
Rio Grande do Sul,9209,6131,5666,465,27,2018,3,T3/2018,7.6,61.5,66.6,3078
Mato Grosso do Sul,2024,1338,1234,105,27,2018,3,T3/2018,7.8,61.0,66.1,686
Mato Grosso,2541,1658,1505,153,27,2018,3,T3/2018,9.2,59.2,65.2,883
Goiás,5272,3499,3143,357,27,2018,3,T3/2018,10.2,59.6,66.4,1773
Distrito Federal,2300,1532,1359,173,27,2018,3,T3/2018,11.3,59.1,66.6,768
Rondônia,1291,833,766,66,27,2018,3,T3/2018,7.9,59.3,64.5,458
Acre,593,330,293,37,27,2018,3,T3/2018,11.2,49.4,55.6,263
Amazonas,2739,1763,1526,237,27,2018,3,T3/2018,13.4,55.7,64.4,976
Roraima,345,221,204,18,27,2018,3,T3/2018,8.1,59.1,64.1,124
